brand,file_urls,model,product,product_lang,source,type,url
gaylordventilation,https://2010products.com/wp-content/uploads/2016/05/G510EF___-HOOD-WASH-CLEANER-DEGREASER.pdf,,Specifically Designed Solutions,,gaylordventilation.com,Data sheet,https://www.gaylordventilation.com/products/additional-products/specifically-designed-solutions
gaylordventilation,/gaylord-flipbooks/blue-book/index.html,,Specifically Designed Solutions,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/additional-products/specifically-designed-solutions
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/PBW_1.pdf,,ELXC Clean-In-Place Ventilators,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elxc-clean-place-ventilators
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/GPC-7000_2.pdf,,ELXC Clean-In-Place Ventilators,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elxc-clean-place-ventilators
gaylordventilation,/gaylord-flipbooks/blue-book/index.html,,ELXC Clean-In-Place Ventilators,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elxc-clean-place-ventilators
gaylordventilation,https://www.gaylordventilation.com/resource-center,,ELXC Clean-In-Place Ventilators,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elxc-clean-place-ventilators
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/AirVantage%20General%20Brochure_0.pdf,,AirVantage,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/dcv-technology/airvantage
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/AirVantage%20DCV-AV%20Spec%20Sheet.pdf,,AirVantage,,gaylordventilation.com,Spec Sheet,https://www.gaylordventilation.com/products/dcv-technology/airvantage
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/AirVantage%20DCV-AVND%20Spec%20Sheet.pdf,,AirVantage,,gaylordventilation.com,Spec Sheet,https://www.gaylordventilation.com/products/dcv-technology/airvantage
gaylordventilation,/gaylord-flipbooks/blue-book/index.html,,AirVantage,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/dcv-technology/airvantage
gaylordventilation,https://www.gaylordventilation.com/resource-center,,AirVantage,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/dcv-technology/airvantage
gaylordventilation,https://www.gaylordventilation.com/resource-center,,AirVantage,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/dcv-technology/airvantage
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/G-510%20ESP_1.pdf,,Specifically Designed Solutions,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/additional-products/specifically-designed-solutions-0
gaylordventilation,https://2010products.com/wp-content/uploads/2016/09/G510ESP___-Hood-Wash-Electrostatic-Precipitator-Cleaner.pdf,,Specifically Designed Solutions,,gaylordventilation.com,Data sheet,https://www.gaylordventilation.com/products/additional-products/specifically-designed-solutions-0
gaylordventilation,/gaylord-flipbooks/blue-book/index.html,,Specifically Designed Solutions,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/additional-products/specifically-designed-solutions-0
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/EL%20Series%20General%20Brochure_4.pdf,,EL Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/el-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/EL.pdf,,EL Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/el-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/EL-BB_0.pdf,,EL Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/el-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/EL-BBC-CL_0.pdf,,EL Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/el-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/PBW.pdf,,EL Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/el-series-ventilator
gaylordventilation,/gaylord-flipbooks/blue-book/index.html,,EL Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/el-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/resource-center,,EL Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/el-series-ventilator
